redshift,lum_dist
0.0,0.0
0.01,43.15823507193043
0.02,86.9732678219642
0.03,131.4380808690901
0.04,176.54567153960414
0.05,222.28905465961708
0.06,268.66126527079115
0.07,315.6553612671144
0.08,363.26442595102117
0.09,411.48157050682727
0.1,460.2999363904754
0.11,509.7126976341872
0.12,559.713063065132
0.13,610.2942784375475
0.14,661.4496284776916
0.15,713.1724388414237
0.16,765.4560779843991
0.17,818.2939589449782
0.18,871.6795410400766
0.19,925.6063314746717
0.2,980.0678868655586
0.21,1035.057814679888
0.22,1090.5697745900507
0.23,1146.5974797453284
0.24,1203.1346979620942
0.25,1260.1752528337445
0.26,1317.7130247613625
0.27,1375.7419519077368
0.28,1434.25603107496
0.29,1493.2493185086785
0.3,1552.7159306297997
0.31,1612.6500446959549
0.32,1673.0458993946831
0.33,1733.897795369858
0.34,1795.2000956837915
0.35000000000000003,1856.9472262168847
0.36,1919.1336760065976
0.37,1981.7539975282273
0.38,2044.8028069191655
0.39,2108.2747841489554
0.4,2172.164673137093
0.41000000000000003,2236.4672818205972
0.42,2301.177482173522
0.43,2366.2902101803197
0.44,2431.80046576504
0.45,2497.7033126784777
0.46,2563.99387834519
0.47000000000000003,2630.667353672109
0.48,2697.71899282099
0.49,2765.144112946245
0.5,2832.93809390013
0.51,2901.0963779069525
0.52,2969.614469208395
0.53,3038.487933680923
0.54,3107.712398427819
0.55,3177.283551346582
0.56,3247.1971406740563
0.5700000000000001,3317.4489745101173
0.58,3388.0349203217825
0.59,3458.9509044290485
0.6,3530.192911473825
0.61,3601.756983873182
0.62,3673.6392212584983
0.63,3745.8357799012615
0.64,3818.3428721271184
0.65,3891.15676571913
0.66,3964.2737833113442
0.67,4037.6903017735394
0.68,4111.402751588627
0.6900000000000001,4185.407616223067
0.7000000000000001,4259.701431491663
0.71,4334.280784917323
0.72,4409.1423150868
0.73,4484.282711003134
0.74,4559.6987114353915
0.75,4635.387104266823
0.76,4711.344725841526
0.77,4787.568460310839
0.78,4864.055238979668
0.79,4940.802039653464
0.8,5017.8058859864195
0.81,5095.0638468313155
0.8200000000000001,5172.573035591544
0.8300000000000001,5250.330609575725
0.84,5328.333769355354
0.85,5406.579758125918
0.86,5485.0658610716955
0.87,5563.789404734779
0.88,5642.747756388506
0.89,5721.938323415631
0.9,5801.358552691491
0.91,5881.005929972496
0.92,5960.877979290034
0.93,6040.972262350158
0.9400000000000001,6121.286377939139
0.9500000000000001,6201.8179613350585
0.96,6282.564683725764
0.97,6363.524251633055
0.98,6444.694406343494
0.99,6526.072923345791
1.0,6607.657611774941
1.01,6689.4463138631445
1.02,6771.4369043976785
1.03,6853.627290185629
1.04,6936.015409525792
1.05,7018.599231687435
1.06,7101.3767563963
1.07,7184.3460133276585
1.08,7267.505061606481
1.09,7350.851989314789
1.1,7434.384913006101
1.11,7518.101977227063
1.12,7602.001354046107
1.1300000000000001,7686.081242589293
1.1400000000000001,7770.339868583212
1.1500000000000001,7854.775483904891
1.16,7939.386366138673
1.17,8024.170818140219
1.18,8109.127167607224
1.19,8194.253766657164
1.2,8279.548991411748
1.21,8365.011241588229
1.22,8450.63894009735
1.23,8536.430532647955
1.24,8622.384487358166
1.25,8708.499294373072
1.26,8794.773465488895
1.27,8881.20553378343
1.28,8967.794053252917
1.29,9054.53759845497
1.3,9141.434764157835
1.31,9228.48416499552
1.32,9315.684435129087
1.33,9403.034227913764
1.34,9490.532215571891
1.35,9578.177088871655
1.36,9665.96755681145
1.37,9753.902346309907
1.3800000000000001,9841.980201901291
1.3900000000000001,9930.199885436485
1.4000000000000001,10018.560175789211
1.41,10107.059868567549
1.42,10195.697775830673
1.43,10284.472725810607
1.44,10373.383562639068
1.45,10462.429146079276
1.46,10551.608351262466
1.47,10640.920068429457
1.48,10730.363202676624
1.49,10819.936673706698
1.5,10909.639415584023
1.51,10999.470376494299
1.52,11089.428518508768
